movieId,genres
161155,16
161155,35
161155,10751
160718,12
160718,14
160718,10751
161594,10749
161594,35
156025,35
156025,18
156025,10749
151307,35
161336,28
161336,80
161336,18
161336,53
149532,35
149532,10749
150856,28
150856,12
150856,18
150856,10751
162542,28
162542,12
162542,53
152025,12
152025,28
152025,53
156726,35
156726,18
156726,10749
161918,35
161918,27
157667,10751
157667,16
157667,12
162376,36
162376,18
135508,28
135508,12
148238,18
148238,80
161084,18
161084,10749
156609,80
156609,35
127098,80
127098,35
127098,12
131724,28
131724,35
131724,80
127164,35
127164,53
127164,80
146309,18
146309,53
132549,28
132549,12
132549,80
132549,53
140267,18
140267,14
140267,878
140267,53
163056,18
163056,10749
127152,18
141956,35
141956,18
141956,10751
128620,18
128620,10749
160438,14
160438,878
160438,12
147006,18
147006,80
140247,18
140247,80
148881,878
148881,53
148881,9648
142258,10749
142258,12
155820,14
155820,18
155820,35
155820,10751
127206,36
127206,18
127206,10749
160565,18
155611,12
155611,36
155611,18
155611,10751
141866,35
141866,10751
141866,10749
158528,35
158528,18
158528,10749
117895,18
117533,18
117533,10752
143410,28
143410,80
143410,18
143410,36
158783,18
158783,10749
127158,28
127158,14
159755,14
159755,18
159755,35
159755,53
159690,18
159690,10749
136305,80
136305,9648
136305,53
138204,12
138204,16
138204,18
138204,10751
113938,18
113938,10749
151639,18
151639,80
151639,53
144714,28
144714,53
144714,18
162672,35
162672,10749
148482,18
148482,10769
127198,28
127198,12
127198,35
127198,10751
133295,18
127204,35
127204,18
127204,10749
141668,35
141668,18
141668,10749
140816,53
140816,18
140816,9648
140725,12
140725,10751
140725,14
158238,18
158238,53
143257,10402
143257,18
143257,10751
155392,35
117511,35
117511,10749
149606,35
161830,28
161830,878
130580,18
130580,10751
139415,35
139415,10749
141718,35
149590,27
149590,28
149590,53
149590,80
148168,28
148168,53
148168,10749
140237,35
140237,18
140237,10749
143385,18
143385,36
132458,18
132458,10749
134130,35
134130,10751
147426,27
147426,878
114342,99
133281,18
133281,53
128512,18
128512,53
132462,10751
132462,18
138698,18
138698,80
139116,18
139116,35
118105,10749
118105,18
140523,18
140523,10749
156387,28
156387,18
128606,12
128606,35
128606,10751
127194,35
160954,80
160954,18
160954,53
142422,18
136816,18
136816,27
136816,53
136816,10749
114635,35
114635,27
114635,10749
139757,35
139757,18
139757,10749
150401,28
150401,12
150401,18
150401,53
113252,35
122920,18
138208,28
138208,12
138208,18
138208,878
138208,53
114254,99
134170,18
134170,53
133771,35
133771,80
133771,18
128360,35
128360,10749
132157,18
132157,9648
132157,878
132157,53
164979,35
112653,18
112653,10749
123947,18
123947,35
123947,10751
148372,28
148372,35
148372,10402
148372,10751
148372,12
127114,99
115122,80
132074,28
132074,18
132074,36
132074,10752
131830,80
131830,18
139644,80
139644,28
139644,35
139644,53
122924,18
122924,53
107042,18
152091,35
130450,99
130450,18
130450,10769
133377,35
133377,80
133377,18
145839,35
145839,10749
130628,35
130628,18
140711,28
140711,12
140711,35
140711,18
140711,10751
128616,18
152079,35
152079,10749
144172,18
144172,35
144172,10749
146604,18
146604,10749
131451,35
131451,10749
147845,14
112334,18
134246,35
134246,10749
112735,35
112735,18
127124,18
127124,10749
127124,10752
121231,28
121231,53
121231,9648
121231,10749
140152,35
140152,18
140152,10749
157407,10402
157407,99
130087,35
128592,99
119068,35
114044,18
114028,18
114028,10749
133365,35
134393,18
132333,35
132333,18
132333,10749
117107,28
117107,35
117107,80
117107,53
117456,28
117456,12
117456,18
117456,10751
138258,18
138258,80
159093,10749
159093,18
159093,35
114670,80
114670,35
114670,18
114670,53
132888,18
113532,12
113220,18
113220,27
111624,28
111624,80
111624,14
134368,18
134368,10749
112689,18
112689,53
141422,35
146656,28
146656,35
159858,14
159858,35
159858,10751
106062,9648
106062,80
106062,18
137857,28
137857,12
137857,18
137857,9648
137857,878
137857,53
116136,28
116136,53
116136,18
116897,99
117871,53
117871,28
117871,80
106111,18
106111,9648
106111,53
117192,28
117192,53
112460,28
112460,35
112460,80
112460,18
113275,18
113275,80
146682,28
146682,12
146682,18
146682,10749
113862,12
117176,28
117176,80
117176,53
117176,18
133545,35
133545,18
133545,10749
136864,12
136864,28
136864,18
136864,878
136864,53
112818,878
116419,35
116419,18
133798,18
133798,80
136654,18
136654,35
113064,9648
113064,27
113064,53
120392,35
120392,18
112921,18
112921,10751
112921,10749
134158,10749
134158,35
152081,28
152081,12
152081,878
152081,10751
152081,14
130642,35
130642,18
130642,10749
118898,53
118898,10769
132961,27
132961,53
129250,80
129250,18
129250,9648
129250,53
129250,28
126420,35
130083,35
115149,14
115149,27
115149,53
145150,14
145150,35
145150,18
109740,18
130490,18
130490,36
130490,10749
147010,99
127178,18
112804,35
112804,18
111443,35
111360,878
111360,27
111360,28
115569,18
116413,80
116413,18
116413,878
116413,53
113225,18
113225,10749
137337,53
113780,18
113780,14
142068,18
142068,10749
113741,35
133419,28
133419,53
112550,35
112550,18
112550,10751
107516,99
160567,18
160567,10749
130634,12
130634,28
103659,18
119145,28
119145,37
138546,18
117434,12
117434,28
117434,35
117434,80
117434,10751
132800,18
119141,18
119141,10752
118924,18
118924,10749
111663,35
118260,18
118260,53
106642,35
106642,18
109864,18
109864,10751
131168,53
131168,18
131168,27
131168,9648
122490,18
122490,10751
122490,10749
136666,35
113829,10749
113829,18
113829,35
160590,18
160590,53
160590,80
160590,9648
160590,10749
116849,53
110194,28
110194,12
110194,53
113705,80
113705,35
113705,14
103596,18
103596,53
103596,9648
115216,80
115216,18
115216,9648
142448,35
106452,35
106452,18
106452,10749
120637,18
120637,9648
112399,53
112399,35
112399,80
112399,10749
115210,35
115210,18
115210,36
135436,35
135436,10749
110882,35
110882,18
110882,10749
119155,28
119155,12
119155,18
119155,10751
133195,10749
133195,16
133195,10751
133195,35
133195,12
159972,18
159972,53
152017,18
152017,10751
152017,14
115680,36
115680,18
158956,18
158956,10751
158956,14
135569,14
135569,16
135569,878
135569,10751
130576,18
130576,28
130576,53
130576,80
115174,99
122888,18
122888,14
135861,35
135861,10751
130980,18
130980,10402
130980,10749
129009,35
129009,10751
129009,18
116660,28
116660,53
106011,35
106011,18
106011,10749
100745,27
100745,10749
111921,18
111921,10749
112552,35
112552,80
161582,35
161582,10751
161582,10749
127202,28
127202,18
127202,9648
127202,53
110110,12
110110,14
110110,35
110110,878
110110,10751
112183,28
112183,80
112183,18
112183,53
131013,12
131013,28
131013,878
111913,18
111913,10749
111743,18
111743,10751
111743,14
115151,18
129428,80
129428,18
104272,18
104272,10749
118326,12
118326,18
118326,10749
118326,10752
132146,12
132146,35
132146,10751
163949,28
163949,18
111228,80
111228,18
110348,18
110348,10749
132547,18
113640,35
113640,18
113640,36
107636,18
107636,27
107636,878
107636,10749
109295,28
109295,35
109295,10751
104069,35
104069,18
104069,10749
142997,35
142997,10749
115502,14
115502,18
115502,10751
142536,35
142536,10749
144976,35
144976,18
114818,80
114818,18
131714,18
131714,35
106332,18
106332,53
122886,80
122886,18
148652,28
148652,53
148652,80
148652,18
146501,27
107769,878
107769,28
107769,53
113207,18
113207,10749
112749,80
112749,53
112749,18
108076,35
108076,18
108076,10749
120783,18
145935,18
145935,10749
145935,53
140928,28
140928,18
140928,878
140928,53
120635,53
120635,80
120635,18
106022,35
106022,18
106022,10749
127096,35
127096,18
127096,10749
106438,53
106438,80
136602,18
134859,35
134859,18
109161,18
109161,10749
110645,36
110645,18
140753,18
140753,36
103372,18
103372,36
102753,28
102753,37
131796,18
131796,35
104925,18
104925,35
132488,18
132488,9648
132488,10749
111249,18
111249,10402
111249,9648
133645,35
133645,18
133645,9648
113186,18
139855,35
139855,10751
139855,10770
129657,27
129657,18
143657,35
143657,18
112450,16
103444,18
103444,10751
103444,14
114935,28
114935,53
103107,28
103107,12
103107,878
99764,14
99764,18
99764,35
99764,10751
122892,18
122892,80
129313,80
129313,53
105211,18
105211,53
109742,35
109742,18
98491,80
98491,35
110591,35
110591,18
110591,10749
106540,35
112277,18
112277,10749
112277,10752
113565,28
113565,35
113565,14
113565,878
112582,27
112582,35
112582,53
108981,878
108981,28
108981,12
108981,53
156607,80
156607,27
156607,53
129354,18
129354,10749
111781,53
111781,27
111781,878
127108,35
112850,18
112850,10749
99468,53
99468,80
136020,18
136020,10752
100556,10749
100556,18
106473,28
106473,80
106473,878
106473,53
104944,35
104944,18
104944,10749
109850,18
102588,35
102588,10749
99846,18
99846,35
99846,10749
110461,35
110461,18
110461,10751
104321,35
104321,9648
105351,18
105351,35
140110,18
140110,10402
111384,53
111384,18
111384,10749
129737,28
129737,35
129737,53
103984,28
103984,18
103984,53
110655,18
110655,53
110655,80
110655,9648
104303,35
104303,18
104303,10751
104303,10749
109853,35
109853,18
102800,14
102800,28
102800,53
103339,18
103980,14
103980,35
103980,10751
103624,35
103624,18
103624,10749
109187,35
109187,18
109187,10749
112897,10749
112897,18
112897,80
105254,35
105254,18
105254,10749
107978,28
107978,35
107978,10749
108506,35
108506,18
108506,10749
114925,12
114925,18
114925,10751
118880,99
118880,10769
125916,10751
125916,16
125916,18
112515,18
112515,36
107382,27
107382,53
107382,9648
107382,14
108729,10749
108729,35
108729,80
108729,14
98124,28
98124,12
98124,35
98124,18
98124,37
118696,18
138610,35
138610,80
101106,35
101106,18
118900,18
106839,80
106839,18
106839,53
106144,35
106144,10751
101362,18
106204,28
106204,12
106204,80
106204,53
104339,28
104339,12
104339,80
106696,35
106696,10749
111486,53
111486,878
111486,28
111486,80
112138,28
112138,53
135887,18
135887,10749
116503,14
110297,18
110297,28
110297,37
105355,28
105355,80
105355,10749
105355,53
109374,35
109374,18
157296,35
157296,18
127136,28
127136,35
127136,80
137595,18
112556,18
149406,28
149406,80
103543,80
103543,18
103543,10749
103801,16
103801,878
110501,28
110501,12
110501,53
107953,28
107953,35
98369,28
98369,12
98369,80
98369,18
98369,53
115664,27
115664,53
101070,99
100517,10749
100517,12
100517,80
100517,18
116207,53
116207,18
112112,28
112112,53
115617,35
112303,99
114459,28
114459,14
114459,878
107083,27
107083,9648
107083,53
117123,18
117123,10749
102481,80
102481,18
103819,35
103819,10751
103819,14
110586,35
106870,18
106870,10749
105213,35
105213,80
105213,10402
130520,35
130520,10751
110453,28
110453,35
105429,28
105429,12
105429,35
105429,18
105429,37
110730,35
110730,18
110730,10749
100714,18
100714,35
100714,14
130682,35
106236,28
106236,35
106236,80
109074,28
109074,12
109074,18
109074,10751
110771,9648
110771,80
110771,18
110771,53
129937,18
129937,28
129937,53
104374,18
109576,18
109576,10749
105755,27
105755,878
105755,53
104218,18
104218,10749
98963,18
98963,80
112767,35
118997,18
118997,35
114662,28
114662,80
114662,18
114662,53
103048,28
103048,35
103048,18
103048,37
108514,35
108514,53
108514,9648
110871,28
110871,12
110871,53
108928,35
108928,878
108928,10751
98587,18
98587,9648
98587,10749
98587,53
115877,28
115877,35
115877,10751
108949,37
108949,28
108949,35
112070,18
98000,35
115231,35
115231,18
117590,80
117590,28
117590,878
109895,99
104760,37
104760,18
104760,35
104760,10749
99813,35
107447,18
100106,18
100106,35
100106,10749
97673,18
136800,35
114762,35
114762,18
135518,18
135518,9648
135518,10749
107141,35
107141,53
107141,9648
107141,10749
107141,10769
101962,35
101962,10749
118814,18
118814,9648
118814,53
103137,10751
103137,12
97395,80
97395,18
97395,53
132796,12
132796,28
132796,53
132796,80
132796,9648
96150,36
96150,28
96150,18
96150,37
97393,18
97393,28
97393,53
96488,10751
96488,35
96488,80
95558,18
95558,10749
97639,35
97639,18
135137,18
135137,53
99320,28
99320,12
99320,80
99320,53
107910,36
107910,10752
107910,28
107910,18
110873,28
110873,35
110873,10752
122932,35
92535,18
92535,35
92535,10749
112006,10749
112006,18
149612,35
111931,35
111931,18
112370,35
112370,18
96829,35
96815,28
96815,18
96815,53
96815,80
96815,9648
112623,18
112497,35
112497,18
112497,10749
101285,18
101285,10402
129659,35
134853,28
134853,53
134853,80
116977,12
116977,878
100553,53
100553,80
97895,28
97895,80
97895,18
97895,53
99574,18
100365,28
100365,12
100365,18
100365,10751
100581,12
100581,14
100581,28
100581,35
100581,10751
94466,35
94466,10751
99675,28
99675,35
99675,37
99917,18
99917,10749
116797,35
100304,18
100304,80
136562,18
96467,35
96467,9648
96832,18
96832,28
96832,80
116985,28
116985,12
116985,18
116985,53
102165,18
102165,10749
100383,53
100383,35
100383,18
100383,10749
103865,18
103865,35
103865,10749
143377,18
143377,10749
97744,35
97744,10749
132618,35
132618,18
132618,10751
106766,35
106766,18
104595,12
100032,35
100032,18
124859,28
124859,18
124859,878
124859,53
114265,35
114265,18
114265,10751
114265,14
114265,878
96563,10749
96563,18
96563,14
105246,80
105246,18
105246,53
105844,18
102792,18
102792,10749
109578,18
109578,10749
100390,18
100159,27
100159,878
100159,53
99912,35
99912,80
99912,18
99912,10402
99912,9648
99912,10749
112062,35
105954,18
105954,10749
104076,35
104076,10752
104129,28
104129,18
104129,53
112852,35
112852,10749
98913,28
98913,12
98913,80
98913,878
98913,53
97230,35
104283,28
104283,80
104283,18
104283,53
100017,28
100017,18
100017,53
101947,18
101947,10749
98279,18
104441,18
111113,18
105585,18
105585,36
105585,10752
99296,35
99296,18
92665,18
96655,18
96114,18
96114,10751
96114,14
105468,35
105468,80
105468,27
